package,lib_path,version,priority,depends,imports,needs_compilation,built,url,source
abind,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.4-8,NA,R (>= 1.5.0),"methods, utils",no,4.5.0,NA,CRAN
acepack,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.6.1,NA,NA,NA,yes,4.5.0,NA,CRAN
addinslist,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.5.0,NA,R (>= 3.1.0),"curl, remotes, DT (>= 0.1), miniUI (>= 0.1), shiny (>=
0.13.2), shinyjs (>= 0.6), rappdirs (>= 0.3.1), rmarkdown,
rvest (>= 0.3.1), utils, xml2 (>= 0.1.2)",no,4.5.0,https://github.com/daattali/addinslist,CRAN
admisc,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.38,NA,R (>= 3.5.0),methods,yes,4.5.0,https://github.com/dusadrian/admisc,CRAN
AER,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.2-15,NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",no,4.5.0,NA,CRAN
agRee,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.5-3,NA,"R (>= 3.0.2), miscF (>= 0.1-4), lme4 (>= 1.0-4)","R2jags (>= 0.03-11), coda (>= 0.16-1)",no,4.5.0,NA,CRAN
akima,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.6-3.6,NA,R (>= 2.0.0),sp,yes,4.5.0,NA,CRAN
alphahull,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.5,NA,NA,"ggplot2, interp, R.utils, sgeostat, spatstat.geom,
spatstat.random, splancs",no,4.5.0,NA,CRAN
alphavantager,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.1.3,NA,R (>= 3.3.0),"dplyr (>= 0.7.0), glue (>= 1.1.1), httr (>= 1.2.1), jsonlite
(>= 1.5), purrr (>= 0.2.2.2), readr (>= 1.1.1), stringr (>=
1.2.0), tibble (>= 1.3.3), tidyr (>= 0.6.3), timetk (>=
0.1.1.1)",no,4.5.0,https://github.com/business-science/alphavantager,CRAN
altair,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,4.2.3,NA,NA,"reticulate (>= 1.23), htmlwidgets, assertthat, magrittr,
utils, vegawidget (>= 0.4.1), repr",no,4.5.0,https://github.com/vegawidget/altair,CRAN
Amelia,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.8.3,NA,"R (>= 3.0.2), Rcpp (>= 0.11)","foreign, utils, grDevices, graphics, methods, stats, rlang",yes,4.5.0,https://gking.harvard.edu/amelia,CRAN
anthro,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.0.1,NA,R (>= 3.2),survey,no,4.5.0,https://github.com/worldhealthorganization/anthro,CRAN
anytime,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.3.12,NA,R (>= 3.2.0),Rcpp (>= 1.0.8),yes,4.5.0,"https://github.com/eddelbuettel/anytime,
https://dirk.eddelbuettel.com/code/anytime.html",CRAN
aod,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.3.3,NA,"R (>= 2.10), methods, stats",NA,no,4.5.0,https://cran.r-project.org/package=aod,CRAN
ape,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,5.8-1,NA,R (>= 3.2.0),"nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest",yes,4.5.0,https://github.com/emmanuelparadis/ape,CRAN
aplore3,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.9,NA,R (>= 3.1.1),NA,no,4.5.0,https://github.com/lbraglia/aplore3,CRAN
aplot,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.2.8,NA,R (>= 4.1.0),"ggfun (>= 0.1.3), ggplot2, ggplotify, patchwork, magrittr,
methods, utils, yulab.utils (>= 0.1.9), pillar",no,4.5.0,"https://github.com/YuLab-SMU/aplot, https://yulab-smu.top/aplot/",CRAN
archive,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.1.12,NA,R (>= 3.6.0),"cli, glue, rlang, tibble",yes,4.5.0,"https://archive.r-lib.org/, https://github.com/r-lib/archive",CRAN
arm,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.14-4,NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",no,4.5.0,https://CRAN.R-project.org/package=arm,CRAN
arrangements,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.1.9,NA,R (>= 3.4.0),"gmp, methods, R6",yes,4.5.0,https://github.com/randy3k/arrangements,CRAN
arsenal,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,3.6.3,NA,"R (>= 3.4.0), stats (>= 3.4.0)","knitr (>= 1.29), utils (>= 3.4.0)",no,4.5.0,"https://github.com/mayoverse/arsenal,
https://cran.r-project.org/package=arsenal,
https://mayoverse.github.io/arsenal/",CRAN
ARTool,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.11.2,NA,R (>= 3.2),"lme4, car (>= 2.0-24), plyr, magrittr, dplyr, emmeans",no,4.5.0,https://github.com/mjskay/ARTool/,CRAN
ash,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.0-15,NA,NA,NA,yes,4.5.0,NA,CRAN
